taker_pos,taker_name,taker_result,taker_href,taker_outcome,taker_team,game_id
1,Alain Giresse,First penalty,https://en.wikipedia.org/wiki/Alain_Giresse,scored,loser,1
1,Manfred Kaltz,,https://en.wikipedia.org/wiki/Manfred_Kaltz,scored,winner,1
2,Manuel Amoros,,https://en.wikipedia.org/wiki/Manuel_Amoros,scored,loser,1
2,Paul Breitner,,https://en.wikipedia.org/wiki/Paul_Breitner,scored,winner,1
3,Dominique Rocheteau,,https://en.wikipedia.org/wiki/Dominique_Rocheteau,scored,loser,1
3,Uli Stielike,,https://en.wikipedia.org/wiki/Uli_Stielike,missed,winner,1
4,Didier Six,,https://en.wikipedia.org/wiki/Didier_Six,missed,loser,1
4,Pierre Littbarski,,https://en.wikipedia.org/wiki/Pierre_Littbarski,scored,winner,1
5,Michel Platini,,https://en.wikipedia.org/wiki/Michel_Platini,scored,loser,1
5,Karl-Heinz Rummenigge,,https://en.wikipedia.org/wiki/Karl-Heinz_Rummenigge,scored,winner,1
6,Maxime Bossis,,https://en.wikipedia.org/wiki/Maxime_Bossis,missed,loser,1
6,Horst Hrubesch,Ending goal,https://en.wikipedia.org/wiki/Horst_Hrubesch,scored,winner,1
1,Sócrates,First penalty,https://en.wikipedia.org/wiki/S%C3%B3crates,missed,loser,2
1,Yannick Stopyra,,https://en.wikipedia.org/wiki/Yannick_Stopyra,scored,winner,2
2,"Alemão (footballer, born 1961)",,"https://en.wikipedia.org/wiki/Alem%C3%A3o_(footballer,_born_1961)",scored,loser,2
2,Manuel Amoros,,https://en.wikipedia.org/wiki/Manuel_Amoros,scored,winner,2
3,Zico,,https://en.wikipedia.org/wiki/Zico,scored,loser,2
3,Bruno Bellone,,https://en.wikipedia.org/wiki/Bruno_Bellone,scored,winner,2
4,Branco (footballer),,https://en.wikipedia.org/wiki/Branco_(footballer),scored,loser,2
4,Michel Platini,,https://en.wikipedia.org/wiki/Michel_Platini,missed,winner,2
5,"Júlio César (footballer, born 1963)",,"https://en.wikipedia.org/wiki/J%C3%BAlio_C%C3%A9sar_(footballer,_born_1963)",missed,loser,2
5,Luis Fernández,Ending goal,https://en.wikipedia.org/wiki/Luis_Fern%C3%A1ndez,scored,winner,2
1,Klaus Allofs,First penalty,https://en.wikipedia.org/wiki/Klaus_Allofs,scored,winner,3
1,Manuel Negrete Arias,,https://en.wikipedia.org/wiki/Manuel_Negrete_Arias,scored,loser,3
2,Andreas Brehme,,https://en.wikipedia.org/wiki/Andreas_Brehme,scored,winner,3
2,Fernando Quirarte,,https://en.wikipedia.org/wiki/Fernando_Quirarte,missed,loser,3
3,Lothar Matthäus,,https://en.wikipedia.org/wiki/Lothar_Matth%C3%A4us,scored,winner,3
3,Raúl Servín,,https://en.wikipedia.org/wiki/Ra%C3%BAl_Serv%C3%ADn,missed,loser,3
4,Pierre Littbarski,Ending goal,https://en.wikipedia.org/wiki/Pierre_Littbarski,scored,winner,3
1,Juan Antonio Señor,First penalty,https://en.wikipedia.org/wiki/Juan_Antonio_Se%C3%B1or,scored,loser,4
1,Nico Claesen,,https://en.wikipedia.org/wiki/Nico_Claesen,scored,winner,4
2,Eloy Olaya,,https://en.wikipedia.org/wiki/Eloy_Olaya,missed,loser,4
2,Enzo Scifo,,https://en.wikipedia.org/wiki/Enzo_Scifo,scored,winner,4
3,Chendo,,https://en.wikipedia.org/wiki/Chendo,scored,loser,4
